Pollutant,Category,Sources,Agricultural & Waste,Agriculture,Agriculture - Pesticide use,Agriculture/Waste,Agriculture/Waste/Accidental fires,All,Automobile tyre and brake wear,Cattle,Chemical Industry,Chemical industry - Solvent Use,Combustion & Production Processes,Combustion Processes,Combustion Residential / Commercial / Institutional,Combustion from Residential,Combustion in Energy and Transformation Industry,Combustion in Industry,Combustion in Industry/Commercial/Residential,Combustion in Manufacturing Industry,Combustion in Residential/Institutional/Commercial,Combustion/Waste,Direct Soil Emissions,Extraction & Distribution of Fossil Fuels,Glass Production,Heavy duty vehicles,Industrial Combustion,Industry/Transport/ Agriculture/Waste,Iron and Steel,Iron and Steel (combustion),Metal Production,Metal Production (process emissions),Non-Industrial Combustion Plants,Other (Production Processes/Agriculture),Other Industrial Combustion,Other Industrial Combustion: Treated wood,Other Livestock,Other Production Processes / Waste,Other Stationary Combustion,Other Transport,Other industrial combustion: Lubricants,PCP in previously treated wood,Passenger cars,Poultry,Production Processes,Production Processes/Waste,Production Processes/Waste Incineration,Production Processes: Agriculture/Waste/other,Public Electricity Generation / Industrial Combustion,Public Electricity Production / Industrial Combustion,Public Electricity and Heat Production,Residential / Commercial / Institutional,Residential / Commercial / Institutional & Waste,Residential /Commercial / Institutional,Residential/Commercial / Institutional,Road & Other Transport,Road Transport,Shipping,Solid fuel transformation,Solvent & Other Product Use,Solvent use/Off road vehicles (including machinery)/Bonfire night,Stationary Combustion,Transport,Waste,Waste Incineration,Waste Incineration / Fireworks
Sulphur Dioxide ,Air pollutants,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Production Processes/Waste,Residential/Commercial / Institutional,Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Arsenic ,Heavy metals and base cations,"All,Industrial Combustion,Metal Production,Other Industrial Combustion: Treated wood,Production Processes/Waste,Residential/Commercial / Institutional,Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tin ,Heavy metals and base cations,"All,Other industrial combustion: Lubricants,Other Stationary Combustion,Other Transport,Production Processes/Waste,Public Electricity and Heat Production,Residential /Commercial / Institutional,Road Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"PM, (Particulate Matter < 2.5µm) ",Particulate Matter,"All,Agriculture/Waste,Combustion in Industry/Commercial/Residential,Other Transport,Production Processes,Public Electricity and Heat Production,Road Transport",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PM, (Particulate Matter < 10µm) ",Particulate Matter,"All,Combustion in Industry/Commercial/Residential,Agriculture/Waste,Other Transport,Production Processes,Public Electricity and Heat Production,Road Transport",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PM, and PM, (Finer particulates) ",Particulate Matter,"All,Combustion in Industry/Commercial/Residential,Agriculture/Waste,Other Transport,Production Processes,Public Electricity and Heat Production,Road Transport,All,Combustion in Industry/Commercial/Residential,Agriculture/Waste,Other Transport,Production Processes,Public Electricity and Heat Production,Road Transport",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Manganese ,Heavy metals and base cations,"All,Metal Production,Other Stationary Combustion,Other Transport,Production Processes,Public Electricity and Heat Production,Residential /Commercial / Institutional,Road Transport,Solid fuel transformation,Waste Incineration",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Non Methane VOC ,Air pollutants,"All,Agriculture/Waste/Accidental fires,Extraction & Distribution of Fossil Fuels,Production Processes,Solvent & Other Product Use,Stationary Combustion,Transport",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Nitrogen Oxides ,Air pollutants,"All,Agriculture,Combustion in Industry,Heavy duty vehicles,Other Transport,Passenger cars,Production Processes: Agriculture/Waste/other,Public Electricity and Heat Production",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanadium ,Heavy metals and base cations,"All,Combustion in Industry,Other Transport,Production Processes,Residential / Commercial / Institutional & Waste,Road Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hydrogen Fluoride ,Air pollutants,"All,Combustion Processes,Production Processes/Waste,Public Electricity and Heat Production,Solid fuel transformation",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dioxins (PCDD/F) ,Air pollutants,"All,Combustion Residential / Commercial / Institutional,Iron and Steel (combustion),Metal Production (process emissions),Other (Production Processes/Agriculture),Transport,Waste Incineration",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Hydrogen Chloride ,Air pollutants,"All,Non-Industrial Combustion Plants,Other Industrial Combustion,Production Processes/Waste,Public Electricity and Heat Production,Road & Other Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hexachlorobenzene ,Air pollutants,"All,Agriculture - Pesticide use,Chemical Industry,Combustion/Waste,Metal Production,Transport",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carbon Monoxide ,Air pollutants,"All,Agriculture/Waste,Combustion from Residential,Iron and Steel,Other Transport,Production Processes,Road Transport,Stationary Combustion",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Copper ,Heavy metals and base cations,"All,Automobile tyre and brake wear,Production Processes,Public Electricity Production / Industrial Combustion,Residential / Commercial / Institutional,Transport,Waste Incineration / Fireworks",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ammonia ,Air pollutants,"All,Cattle,Combustion & Production Processes,Direct Soil Emissions,Other Livestock,Poultry,Waste",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cadmium ,Heavy metals and base cations,"All,Combustion in Manufacturing Industry,Combustion in Energy and Transformation Industry,Iron and Steel,Metal Production,Other Stationary Combustion,Production Processes/Waste,Production Processes/Waste Incineration,Transport",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benzo[a]pyrene ,Air pollutants,"All,Agricultural & Waste,Combustion in Industry,Production Processes,Residential/Commercial / Institutional,Road Transport,Solvent use/Off road vehicles (including machinery)/Bonfire night,Waste Incineration",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Pentachlorophenol ,Air pollutants,"All,Industry/Transport/ Agriculture/Waste,PCP in previously treated wood",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
